"","Row.Names","NMDS1","NMDS2","Species","Pollinator","Pair","species2","Salvia"
"SalGreg_2","SalGreg_2",0.14454546649646,-0.134953321393053,"SalGre_12","BIRD",NA,"Salvia greggii","Salvia"
"SalGreg_3","SalGreg_3",0.0825057967150983,-0.0157557968319295,"SalGre_12","BIRD",NA,"Salvia greggii","Salvia"
"SalGreg_4","SalGreg_4",0.148412023679769,-0.122245555826845,"SalGre_12","BIRD",NA,"Salvia greggii","Salvia"
"SalGreg_5","SalGreg_5",0.285285736694109,-0.177698419641854,"SalGre_12","BIRD",NA,"Salvia greggii","Salvia"
"SalGreg_6","SalGreg_6",0.261294237585355,-0.271706089432616,"SalGre_12","BIRD",NA,"Salvia greggii","Salvia"
"SalGreg_7","SalGreg_7",0.173599864531922,-0.0827407120202332,"SalGre_12","BIRD",NA,"Salvia greggii","Salvia"
"SalGreg_8","SalGreg_8",0.238485313031516,-0.0804201010316958,"SalGre_12","BIRD",NA,"Salvia greggii","Salvia"
"SalLeu_20","SalLeu_20",0.0881537762704887,-0.132809810945198,"SalLeu_13","BEE",NA,"Salvia leucantha","Salvia"
"SalLeu_21","SalLeu_21",0.0592776966056239,-0.105271343941836,"SalLeu_13","BEE",NA,"Salvia leucantha","Salvia"
"SalLeu_22","SalLeu_22",0.0689927176315183,-0.0888471388441355,"SalLeu_13","BEE",NA,"Salvia leucantha","Salvia"
"SalLeu_23","SalLeu_23",0.0803969718782865,-0.0924349954055838,"SalLeu_13","BEE",NA,"Salvia leucantha","Salvia"
"SalLeu_26","SalLeu_26",0.0629506252724665,-0.0584191416426664,"SalLeu_13","BEE",NA,"Salvia leucantha","Salvia"
"SalLeu_5","SalLeu_5",0.0672887379026605,-0.12308847544992,"SalLeu_13","BEE",NA,"Salvia leucantha","Salvia"
"SalMic_1","SalMic_1",-0.0665322163826206,-0.127119381836336,"SalMic_14","BIRD",NA,"Salvia microphylla","Salvia"
"SalMic_4","SalMic_4",0.0071586420987212,-0.0211680298675737,"SalMic_14","BIRD",NA,"Salvia microphylla","Salvia"
"SalMic_6","SalMic_6",0.010930263696086,-0.0129462591351105,"SalMic_14","BIRD",NA,"Salvia microphylla","Salvia"
"SalMic_B5","SalMic_B5",0.109677493789139,-0.262809216514266,"SalMic_14","BIRD",NA,"Salvia microphylla","Salvia"
"SalMic_B6","SalMic_B6",0.0251814947294168,-0.0831635337525366,"SalMic_14","BIRD",NA,"Salvia microphylla","Salvia"
"SalReg_10","SalReg_10",-0.126105543567293,-0.255314935165268,"SalReg_15","BIRD",3,"Salvia regla","Salvia"
"SalReg_B1","SalReg_B1",-0.140628410919026,-0.125661646331474,"SalReg_15","BIRD",3,"Salvia regla","Salvia"
"SalReg_FM10","SalReg_FM10",-0.166227727434291,-0.242966424905221,"SalReg_15","BIRD",3,"Salvia regla","Salvia"
"SalReg_FM15","SalReg_FM15",-0.104848338651621,-0.199178812050591,"SalReg_15","BIRD",3,"Salvia regla","Salvia"
"SalReg_W1","SalReg_W1",-0.144352627262896,-0.353083035001144,"SalReg_15","BIRD",3,"Salvia regla","Salvia"
"SalReg_W2","SalReg_W2",-0.151074802164876,-0.256666514588686,"SalReg_15","BIRD",3,"Salvia regla","Salvia"
"SalReg_W3","SalReg_W3",-0.0864533141282675,-0.0767841661948201,"SalReg_15","BIRD",3,"Salvia regla","Salvia"
"SalReg_W4","SalReg_W4",-0.125762351069153,-0.12761584464923,"SalReg_15","BIRD",3,"Salvia regla","Salvia"
"SalReg_W5","SalReg_W5",-0.120559046244642,-0.189130091657127,"SalReg_15","BIRD",3,"Salvia regla","Salvia"
"SalReg_W6","SalReg_W6",-0.257035610654432,-0.441079748836956,"SalReg_15","BIRD",3,"Salvia regla","Salvia"
"SalRoe_1","SalRoe_1",0.239351191126675,-0.00567966597672357,"SalRoe_16","BIRD",NA,"Salvia roemeriana","Salvia"
"SalRoe_2","SalRoe_2",0.216347826809618,0.0231934512159917,"SalRoe_16","BIRD",NA,"Salvia roemeriana","Salvia"
"SalRoe_3","SalRoe_3",0.233349614764036,-0.0212537221621539,"SalRoe_16","BIRD",NA,"Salvia roemeriana","Salvia"
"SalRoe_4","SalRoe_4",0.181717585664932,0.0019999691215918,"SalRoe_16","BIRD",NA,"Salvia roemeriana","Salvia"
"SalRoe_5","SalRoe_5",0.232506940461465,0.0237255485647275,"SalRoe_16","BIRD",NA,"Salvia roemeriana","Salvia"
"SalRoe_6","SalRoe_6",0.290445390817568,-0.0147449726964737,"SalRoe_16","BIRD",NA,"Salvia roemeriana","Salvia"
"SalRoe_7","SalRoe_7",0.198203593289929,0.0363644848405199,"SalRoe_16","BIRD",NA,"Salvia roemeriana","Salvia"
"SalRoe_8","SalRoe_8",0.210231883749058,0.0202235702577864,"SalRoe_16","BIRD",NA,"Salvia roemeriana","Salvia"
"SalSin_1","SalSin_1",0.0606468294672454,0.0180467015532094,"SalSin_17","BEE",NA,"Salvia sinaloensis","Salvia"
"SalSin_2","SalSin_2",0.0417373296040436,0.00734909231761804,"SalSin_17","BEE",NA,"Salvia sinaloensis","Salvia"
"SalSin_3","SalSin_3",0.0591158120792533,0.032533141713608,"SalSin_17","BEE",NA,"Salvia sinaloensis","Salvia"
"SalSin_4","SalSin_4",0.041957000071079,0.0155256538010162,"SalSin_17","BEE",NA,"Salvia sinaloensis","Salvia"
"SalSin_5","SalSin_5",0.0655223551327307,0.000937061320164776,"SalSin_17","BEE",NA,"Salvia sinaloensis","Salvia"
"SalSin_6","SalSin_6",0.0815450164023565,-0.0090989635167637,"SalSin_17","BEE",NA,"Salvia sinaloensis","Salvia"
"SalSin_7","SalSin_7",0.0434446796655943,0.0646437486873463,"SalSin_17","BEE",NA,"Salvia sinaloensis","Salvia"
"SalSin_8","SalSin_8",0.0455367611881412,0.0206544151461402,"SalSin_17","BEE",NA,"Salvia sinaloensis","Salvia"
"SalSin_BW101","SalSin_BW101",0.0120493447673731,-0.0397565011293361,"SalSin_17","BEE",NA,"Salvia sinaloensis","Salvia"
"ScutSuf_1","ScutSuf_1",0.10853159146877,0.235319983018957,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutSuf_2","ScutSuf_2",0.169337430861174,0.423217670517826,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutSuf_3","ScutSuf_3",0.163063697014952,0.305889660459655,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutSuf_4","ScutSuf_4",0.131429168397781,0.327527615951708,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutSuf_5","ScutSuf_5",0.183177964113708,0.455574992255386,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutSuf_6","ScutSuf_6",0.161481745412816,0.314144666508673,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutSuf_7","ScutSuf_7",0.118298518795578,0.242590207735057,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutSuf_8","ScutSuf_8",0.0929599886692193,0.187596944773466,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
"ScutSuf_B1","ScutSuf_B1",0.11191278278851,0.277116455660859,"ScutSuff_18","BIRD",NA,"Scutellaria suffrutescens","NO"
