row.ID,Individual,LeafConc,NectarConc,ATTRIBUTE_species,Pollinator,NPC.pathway,NPC.superclass,NPC.class
3719,AniQWr_7,12047.49,214219.17,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
3719,AniQWr_3,7255.316,17401.66,Anisacanthus_quadrifidus,BIRD,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
374,SalGreg_4,118567.261,44536.63,Salvia_greggii,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
375,SalFar_3,216144.499,535832.93,Salvia_farinaceae,BEE,Amino acids and Peptides,Small peptides,Aminoacids
375,SalGreg_7,119643.739,190129.49,Salvia_greggii,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
375,SalFar_20,46759.688,241064.91,Salvia_farinaceae,BEE,Amino acids and Peptides,Small peptides,Aminoacids
375,ScutSuf_B1,17536.711,227544.48,Scutellaria_suffrutescens,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
375,SalRoe_6,95311.936,200421.84,Salvia_roemeriana,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
375,ScutSuf_B2,73275.287,311377.11,Scutellaria_suffrutescens,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
375,SalBle_5,31846.017,316489.87,Salvia_blepharophylla,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
375,SalBle_SBW5,237594.712,350588.55,Salvia_blepharophylla,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
375,SalBall_4,117811.06,450352.48,Salvia_ballotiflora,BEE,Amino acids and Peptides,Small peptides,Aminoacids
375,SalCoc_5,151994.238,239921.84,Salvia_coccinea,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
375,ScutWri_5,129145.235,159760.26,Scutellaria_wrightii,BEE,Amino acids and Peptides,Small peptides,Aminoacids
375,ScutSuf_2,94482.096,427508.88,Scutellaria_suffrutescens,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
375,PhysVir_3,54997.959,2244294.64,Physostegia_virginiana,BEE,Amino acids and Peptides,Small peptides,Aminoacids
375,ScutSuf_B3,24180.998,285487.66,Scutellaria_suffrutescens,BIRD,Amino acids and Peptides,Small peptides,Aminoacids
375,ScutWri_4,94415.246,284287.28,Scutellaria_wrightii,BEE,Amino acids and Peptides,Small peptides,Aminoacids
375,SalLeu_26,114817.011,180130.34,Salvia_leucantha,BEE,Amino acids and Peptides,Small peptides,Aminoacids
